Linear	Frequency		
1035:46	72		
1035:56	73		
1035:57	68		
1035:101	69		
1035:102	68		
1035:103	74		
1035:104	61		
1035:105	60		
1035:106	69		
1035:107	59		
1035:108	75		
1035:109	58		
1035:110	42		
1035:111	59		
1035:113	60		
1035:114	69		
1035:115	69		
1035:116	60		
1035:117	70		
1035:118	73		
1035:119	61		
1035:120	66		
1035:121	64		
1035:122	68		
1035:123	77		
1035:124	73		
1035:125	74		
1035:126	72		
1035:127	69		
1035:128	71		
1035:129	68		
1035:130	67		
1035:131	62		
1035:132	58		
1035:133	61		
1035:134	69		
1035:135	73		
1035:136	72		
1035:137	70		
1035:138	73		
1035:139	76		
1035:140	76		
1035:141	61		
1035:142	72		
1035:143	56		
1035:144	59		
1035:145	73		
1035:146	58		
1035:147	67		
1035:148	68		
1035:149	56		
1035:150	60		
1035:151	61		
1035:152	76		
1035:153	51		
1035:154	59		
1035:155	54		
1035:156	58		
1035:157	61		
1035:165	62		
1035:166	69		
1035:167	74		
1035:168	70		
1035:169	66		
1035:170	69		
1035:171	70		
1035:172	70		
1035:173	62		
1035:174	72		
1035:175	76		
1035:176	63		
1035:177	73		
1035:178	70		
1035:179	73		
1035:180	71		
1035:181	77		
1035:182	69		
1035:183	66		
1035:184	71		
1035:185	66		
1035:186	69		
1035:187	70		
1035:188	71		
1035:189	72		
1035:190	72		
1035:191	63		
1035:192	59		
1035:193	73		
1035:194	67		
1035:195	74		
1035:196	73		
1035:197	65		
1035:198	66		
1035:199	74		
1035:200	77		
1035:201	64		
1035:202	75		
1035:203	74		
1035:204	75		
1035:205	76		
1035:206	67		
1035:207	75		
1035:208	65		
1035:209	67		
1035:210	75		
1035:211	77		
1035:212	65		
1035:213	72		
1035:214	73		
1035:215	67		
1035:216	75		
1035:217	72		
1035:218	77		
1035:219	63		
1035:220	75		
1035:221	69		
1035:222	80		
1035:223	69		
1035:224	76		
1035:225	68		
1035:226	59		
1035:227	63		
1035:228	71		
1035:229	58		
1035:230	64		
1035:231	74		
1035:232	63		
1035:233	75		
1035:234	69		
1035:235	66		
1035:236	77		
1035:237	69		
1035:238	48		
1035:239	51		
1035:240	57		
1035:241	65		
1035:242	67		
1035:243	74		
1035:244	70		
1035:245	65		
1035:246	67		
1035:247	73		
1035:248	72		
1035:249	56		
1035:250	70		
1035:262	65		
1035:263	69		
1035:264	62		
1035:265	66		
1035:266	72		
1035:267	75		
1035:268	64		
1035:269	69		
1035:270	69		
1035:271	65		
1035:272	71		
1035:273	71		
1035:274	64		
1035:275	73		
1035:276	67		
1035:277	55		
1035:278	74		
1035:279	59		
1035:280	72		
1035:281	68		
1035:282	76		
1035:283	66		
1035:284	72		
1035:285	66		
1035:286	77		
1035:287	74		
1035:288	64		
1035:289	73		
1035:290	65		
1035:291	70		
1035:292	67		
1035:293	62		
1035:294	57		
1035:295	71		
1035:296	59		
1035:297	72		
1035:298	72		
1035:299	77		
1035:29embryo1	67		
1035:29embryo2	79		
1035:29embryo3	75		
1035:29embryo4	74		
1035:29embryo5	68		
1035:29embryo6	73		
1035:29embryo7	72		
1035:29embryo8	76		
1035:29pup1	73		
1035:29pup2	62		
1035:29pup3	70		
1035:29pup4	67		
1035:29pup5	75		
1035:29pup6	73		
1035:29pup7	71		
1035:29pup8	71		
1035:29T	77		
1035:300	77		
1035:301	66		
1035:302	71		
1035:303	69		
1035:304	73		
1035:305	64		
1035:306	75		
1035:307	66		
1035:308	60		
1035:309	69		
1035:310	65		
1035:311	59		
1035:312	72		
1035:313	71		
1035:314	76		
1035:315	72		
1035:316	71		
1035:317	71		
1035:318	73		
1035:319	68		
1035:320	65		
1035:321	69		
1035:322	69		
1035:323	73		
1035:341	59		
1035:342	73		
1035:343	69		
1035:344	70		
1035:345	69		
1035:346	65		
1035:347	74		
1035:348	72		
1035:349	57		
1035:350	63		
1035:351	66		
1035:352	64		
1035:353	73		
1035:354	72		
1035:355	67		
1035:356	74		
1035:357	59		
1035:358	65		
1035:359	69		
1035:360	72		
1035:361	73		
1035:362	73		
1035:363	75		
1035:364	69		
1035:365	64		
1035:366	72		
1035:367	73		
1035:368	71		
1035:370	73		
1035:371	67		
1035:372	74		
1035:373	69		
1035:374	68		
1035:375	71		
1035:376	72		
1035:377	64		
1035:378	60		
1035:379	73		
1035:380	72		
1035:381	74		
1035:382	77		
1035:383	71		
1035:384	64		
1035:385	65		
1035:386	73		
1035:387	62		
1035:388	68		
1035:389	74		
1035:390	57		
1035:391	57		
1035:392	71		
1035:393	63		
1035:394	75		
1035:395	62		
1035:396	69		
1035:397	71		
1035:398	60		
1035:399	61		
1035:400	68		
1035:401	66		
1035:402	69		
1035:403	59		
1035:404	75		
1035:405	74		
1035:406	66		
1035:407	72		
1035:408	64		
1035:409	76		
1035:410	68		
1035:411	66		
1035:412	66		
1035:413	56		
1035:414	68		
1035:415	68		
1035:416	71		
1035:417	86		
1035:418	65		
1035:419	74		
1035:420	68		
1035:421	73		
1035:422	73		
1035:423	72		
1035:424	65		
1035:425	63		
1035:426	72		
1035:427	73		
1035:428	70		
1035:429	67		
1035:430	72		
1035:431	72		
1035:432	73		
1035:433	71		
1035:434	66		
1035:435	72		
1035:436	77		
1035:437	59		
1035:438	72		
1035:439	68		
1035:440	73		
1035:441	70		
1035:442	75		
1035:443	69		
1035:444	64		
1035:445	75		
1035:446	76		
1035:447	78		
1035:448	72		
1035:449	78		
1035:450	72		
1035:451	79		
1035:452	69		
1035:453	74		
1035:454	78		
1035:455	73		
1035:456	74		
1035:457	70		
1035:458	78		
1035:459	71		
1035:460	75		
1035:461	68		
1035:462	74		
1035:463	70		
1035:464	71		
1035:465	57		
1035:466	71		
1035:467	69		
1035:468	74		
1035:469	68		
1035:470	61		
1035:471	62		
1035:472	60		
1035:473	78		
1035:474	72		
1035:475	72		
1035:476	72		
1035:477	75		
1035:478	73		
1035:479	75		
1035:480	77		
1035:481	72		
1035:482	79		
1035:483	76		
1035:484	75		
1035:485	79		
1035:486	75		
1035:487	70		
1035:488	56		
1035:489	77		
1035:490	71		
1035:491	76		
1035:492	75		
1035:493	67		
1035:494	72		
1035:495	75		
1035:496	65		
1035:497	67		
1035:499	79		
1035:500	63		
1035:501	76		
1035:502	72		
1035:503	79		
1035:504	64		
1035:505	74		
1035:506	74		
1035:507	74		
1035:508	69		
1035:509	78		
1035:510	72		
1035:511	75		
1035:512	73		
1035:513	78		
1035:514	68		
1035:515	74		
1035:516	71		
1035:517	70		
1035:518	71		
1035:519	69		
1035:520	70		
1035:521	73		
1035:522	72		
1035:523	78		
1035:524	73		
1035:525	73		
1035:526	71		
1035:527	61		
1035:528	64		
1035:529	53		
1035:530	68		
1035:531	70		
1035:532	73		
1035:533	70		
1035:534	70		
1035:535	75		
1035:536	68		
1035:537	74		
1035:538	75		
1035:539	76		
1035:540	78		
1035:541	76		
1035:542	77		
1035:543	74		
1035:544	76		
1035:545	73		
1035:546	60		
1035:99	73		
1018:47	73		
1018:53	71		
1018:56	59		
1018:57	74		
1018:131	67		
1018:132	57		
1018:133	54		
1018:134	59		
1018:135	59		
1018:140	66		
1018:141	70		
1018:142	57		
1018:143	61		
1018:144	63		
1018:145	64		
1018:146	59		
1018:147	74		
1018:148	77		
1018:149	69		
1018:150	76		
1018:159	74		
1018:162	73		
1018:163	72		
1018:164	77		
1018:165	69		
1018:166	67		
1018:167	70		
1018:168	67		
1018:177	64		
1018:178	65		
1018:179	60		
1018:180	76		
1018:181	66		
1018:182	60		
1018:183	54		
1018:184	68		
1018:185	53		
1018:186	46		
1018:187	63		
1018:188	64		
1018:189	75		
1018:190	74		
1018:191	67		
1018:192	72		
1018:193	48		
1018:194	72		
1018:195	73		
1018:196	77		
1018:204	64		
1018:205	75		
1018:206	61		
1018:207	50		
1018:208	67		
1018:209	65		
1018:210	66		
1018:211	72		
1018:212	72		
1018:219	70		
1018:220	70		
1018:221	68		
1018:222	61		
1018:223	67		
1018:224	69		
1018:225	61		
1018:226	73		
1018:227	73		
1018:228	66		
1018:229	64		
1018:230	65		
1018:231	54		
1018:232	59		
1018:233	53		
1018:234	71		
1018:235	69		
1018:236	73		
1018:237	74		
1018:238	74		
1018:238248(likelywronglylabeledwas1018:238249whichis1018:404)	72		
1018:239	70		
1018:240	48		
1018:241	65		
1018:242	69		
1018:250	71		
1018:251	69		
1018:252	72		
1018:253	67		
1018:254	70		
1018:255	71		
1018:256	57		
1018:257	61		
1018:258	69		
1018:259	67		
1018:260	60		
1018:267	73		
1018:272	75		
1018:273	65		
1018:274	68		
1018:275	67		
1018:276	71		
1018:277	68		
1018:278	75		
1018:279	64		
1018:280	42		
1018:281	55		
1018:282	69		
1018:283	75		
1018:284	71		
1018:285	52		
1018:286	51		
1018:287	72		
1018:295	77		
1018:296	74		
1018:297	73		
1018:298	64		
1018:299	60		
1018:300	75		
1018:301	65		
1018:302	77		
1018:303	73		
1018:304	71		
1018:305	53		
1018:306	74		
1018:307	61		
1018:308	75		
1018:309	66		
1018:310	65		
1018:311	70		
1018:312	75		
1018:313	72		
1018:314	74		
1018:315	75		
1018:316	79		
1018:317	62		
1018:318	75		
1018:319	68		
1018:320	74		
1018:321	65		
1018:322	68		
1018:323	54		
1018:324	76		
1018:325	67		
1018:326	78		
1018:327	72		
1018:328	63		
1018:329	69		
1018:330	71		
1018:331	71		
1018:332	76		
1018:333	79		
1018:334	73		
1018:335	72		
1018:336	68		
1018:337	63		
1018:338	59		
1018:339	71		
1018:340	77		
1018:341	71		
1018:342	76		
1018:343	75		
1018:344	69		
1018:345	61		
1018:346	79		
1018:347	60		
1018:348	76		
1018:349	70		
1018:350	65		
1018:351	74		
1018:352	78		
1018:353	75		
1018:354	75		
1018:355	65		
1018:356	74		
1018:357	65		
1018:358	70		
1018:359	70		
1018:360	67		
1018:361	74		
1018:362	63		
1018:363	68		
1018:364	72		
1018:365	73		
1018:366	73		
1018:367	55		
1018:368	70		
1018:369	72		
1018:370	74		
1018:371	64		
1018:372	76		
1018:373	63		
1018:374	67		
1018:375	69		
1018:376	64		
1018:377	63		
1018:378	70		
1018:379	59		
1018:380	67		
1018:381	66		
1018:382	73		
1018:383	72		
1018:384	67		
1018:385	77		
1018:386	67		
1018:387	79		
1018:388	75		
1018:389	74		
1018:390	75		
1018:391	62		
1018:392	75		
1018:393	74		
1018:394	73		
1018:395	51		
1018:396	54		
1018:397	61		
1018:398	70		
1018:399	59		
1018:400	62		
1018:401	65		
1018:402	72		
1018:403	67		
1018:441	72		
1018:442	69		
1018:443	74		
1018:444	79		
1018:445	72		
1018:446	75		
1018:447	78		
1018:448	78		
1018:449	78		
1018:450	74		
1018:451	74		
1018:452	76		
1018:453	70		
1018:454	71		
1018:455	75		
1018:456	67		
1018:457	76		
1018:458	73		
1018:459	67		
1018:460	67		
1018:461	72		
1018:462	58		
1018:463	68		
1018:464	75		
1018:465	65		
1018:466	78		
1018:467	62		
1018:468	71		
1018:469	73		
1018:470	69		
1018:472	63		
1018:473	76		
1018:474	71		
1018:475	67		
1018:476	69		
1018:477	74		
1018:478	72		
1018:479	72		
1018:480	76		
1018:481	75		
1018:482	68		
1018:483	71		
1018:484	70		
1018:485	74		
1018:486	69		
1018:487	65		
1018:488	68		
1018:489	67		
1018:490	74		
1018:491	61		
1018:492	71		
1018:493	71		
1018:494	65		
1018:495	68		
1018:496	64		
1018:497	59		
1018:498	69		
1018:499	66		
1018:500	73		
1018:501	76		
1018:502	76		
1018:503	72		
1018:504	67		
1018:505	71		
1018:506	75		
1018:507	67		
1018:508	72		
1018:509	72		
1018:510	67		
1018:511	74		
1018:512	69		
1018:513	58		
1018:514	67		
1018:515	70		
1018:516	65		
1018:517	65		
1018:518	67		
1018:519	72		
1018:520	72		
1018:521	75		
1018:522	75		
1018:523	72		
1018:524	64		
1018:525	76		
1018:526	72		
1018:527	71		
1018:528	79		
1018:529	75		
1018:530	77		
1018:531	74		
1018:532	78		
1018:533	74		
1018:534	74		
1018:535	73		
1018:536	74		
1018:537	77		
1018:538	78		
1018:539	66		
1018:540	80		
1018:541	71		
1018:542	71		
1018:543	72		
1018:544	76		
1018:546	66		
1018:547	75		
1018:548	75		
1018:549	70		
1018:550	71		
1018:551	64		
1018:552	67		
1018:553	76		
1018:554	77		
1018:555	75		
1018:556	72		
1018:557	80		
1018:558	77		
1018:559	76		
1018:560	76		
1018:561	75		
1018:562	73		
1018:563	70		
1018:563repeated	70		
1018:564	73		
1018:565	76		
1018:64	63		
1018:77	78		
1060:135	77		
1060:136	76		
1060:137	68		
1060:138	62		
1060:139	74		
1060:140	75		
1060:140	76		
1060:142	68		
1060:143	62		
1060:144	70		
1060:145	67		
1060:146	68		
1060:147	73		
1060:148	56		
1060:149	74		
1060:150	70		
1060:151	67		
1060:152	77		
1060:153	71		
1060:154	72		
1060:155	76		
1060:156	73		
1060:157	56		
1060:158	66		
1060:159	53		
1060:160	69		
1060:161	63		
1060:184	64		
1060:185	69		
1060:186	57		
1060:187	49		
1060:188	65		
1060:189	78		
1060:190	65		
1060:191	70		
1060:192	72		
1060:193	73		
1060:194	57		
1060:195	73		
1060:196	74		
1060:197	77		
1060:198	65		
1060:199	46		
1060:200	76		
1060:201	72		
1060:202	69		
1060:204	69		
1060:205	51		
1060:206	70		
1060:207	67		
1060:208	69		
1060:210	46		
1060:211	69		
1060:212	73		
1060:213	70		
1060:214	76		
1060:215	72		
1060:216	66		
1060:217	73		
1060:218	72		
1060:219	74		
1060:220	74		
1060:221	75		
1060:222	74		
1060:223	68		
1060:224	73		
1060:225	70		
1060:226	65		
1060:227	65		
1060:228	74		
1060:229	75		
1060:231	76		
1060:232	69		
1060:238	69		
1060:238	73		
1060:239	73		
1060:239	73		
1060:240	69		
1060:240	69		
1060:241	68		
1060:241	67		
1060:242	65		
1060:242	65		
1060:243	63		
1060:243	64		
1060:244	73		
1060:244	71		
1060:245	70		
1060:245	69		
1060:246	67		
1060:246	67		
1060:248	60		
1060:249	62		
1060:250	59		
1060:251	77		
1060:252	57		
1060:253	67		
1060:254	73		
1060:255	65		
1060:256	63		
1060:257	72		
1060:258	68		
1060:259	70		
1060:260	77		
1060:261	77		
1060:262	73		
1060:263	74		
1060:264	65		
1060:265	67		
1060:266	74		
1060:267	64		
1060:268	75		
1060:269	76		
1060:270	70		
1060:271	74		
1060:272	66		
1060:273	74		
1060:274	74		
1060:275	74		
1060:276	75		
1060:277	75		
1060:278	70		
1060:279	69		
1060:280	74		
1060:281	76		
1060:289	69		
1060:290	72		
1060:291	70		
1060:292	59		
1060:293	70		
1060:294	75		
1060:295	76		
1060:296	79		
1060:297	77		
1060:298	65		
1060:299	73		
1060:300	72		
1060:312	75		
1060:313	69		
1060:314	78		
1060:315	74		
1060:317	63		
1060:318	62		
1060:319	73		
1060:321	75		
1060:322	69		
1060:323	72		
1060:324	62		
1060:325	66		
1060:326	68		
1060:326092	73		
1060:327	75		
1060:328	63		
1060:329	74		
1060:330	64		
1060:331	62		
1060:332	73		
1060:333	77		
1060:334	62		
1060:335	77		
1060:336	76		
1060:337	77		
1060:338	63		
1060:339	66		
1060:340	72		
1060:341	76		
1060:342	71		
1060:343	78		
1060:344	77		
1060:345	73		
1060:346	77		
1060:347	74		
1060:348	75		
1060:349	68		
1060:350	73		
1060:351	76		
1060:352	53		
1060:354	76		
1060:355	75		
1060:356	77		
1060:357	75		
1060:358	68		
1060:359	71		
1060:360	68		
1060:361	75		
1060:362	74		
1060:363	74		
1060:365	70		
1060:366	59		
1060:367	66		
1060:368	65		
1060:369	73		
1060:370	62		
1060:371	69		
1060:372	71		
1060:373	74		
1060:374	68		
1060:375	76		
1060:376	72		
1060:377	69		
1060:378	74		
1060:379	72		
1060:380	73		
1060:381	71		
1060:382	65		
1060:383	69		
1060:384	76		
1060:385	68		
1060:386	68		
1060:387	76		
1060:388	69		
1060:389	68		
1060:390	70		
1060:391	60		
1060:392	76		
1060:393	71		
1060:394	77		
1060:395	73		
1060:396	70		
1060:397	73		
1060:398	68		
1060:399	77		
1060:400	75		
1060:401	76		
1060:402	63		
1060:403	77		
1060:404	67		
1060:405	74		
1060:406	76		
1060:407	61		
1060:408	45		
1060:409	63		
1060:410	74		
1060:411	67		
1060:412	68		
1060:413	70		
1060:414	64		
1060:416	67		
1060:417	75		
1060:418	70		
1060:419	65		
1060:420	70		
1060:421	71		
1060:422	66		
1060:423	53		
1060:424	50		
1060:425	63		
1060:426	77		
1060:427	72		
1060:428	71		
1060:429	77		
1060:430	60		
1060:431	58		
1060:432	71		
1060:433	72		
1060:434	60		
1060:435	70		
1060:436	35		
1060:437	73		
1060:438	77		
1060:439	75		
1060:440	74		
1060:441	72		
1060:442	70		
1060:443	76		
1060:444	57		
1060:445	74		
1060:445	75		
1060:446	71		
1060:446(extrapeakwereitshouldnotbe)	93		
1060:447	65		
1060:447	68		
1060:448	70		
1060:449	63		
1060:450	77		
1060:451	67		
1060:452	66		
1060:453	74		
1060:454	68		
1060:455	68		
1060:456	72		
1060:457	73		
1060:458	70		
1060:459	67		
1060:460	68		
1060:461	63		
1060:462	74		
1060:463	75		
1060:464	70		
1060:465	79		
1060:466	72		
1060:467	59		
1060:468	69		
1060:469	71		
1060:470	2		
1060:471	73		
1060:472	76		
1060:473	78		
1060:474	72		
1060:475	63		
1060:476	72		
1060:477	76		
1060:478	60		
1060:479	73		
1060:480	71		
1060:481	77		
1060:482	69		
1060:483	69		
1060:484	74		
1060:485	68		
1060:486	70		
1060:487	68		
1060:488	72		
1060:489	72		
1060:490	68		
1060:491	72		
1060:492	74		
1060:493	71		
1060:494	75		
1060:495	74		
1060:496	77		
1060:497	78		
1060:498	75		
1060:499	74		
1060:500	71		
1060:501	70		
1060:502	75		
1060:503	73		
1060:504	78		
1060:505	62		
1060:506	67		
1060:507	68		
1060:508	74		
1060:509	76		
1060:510	73		
1060:511	66		
1060:512	66		
1060:513	73		
1060:514	66		
1060:515	65		
1060:516	62		
1060:517	77		
1060:518	79		
1060:519	73		
1060:520	70		
1060:521	63		
1060:522	66		
1060:523	78		
1060:524	75		
1060:d1	76		
1060:d2	79		
1060:d3	75		
1060:d4	72		
1060:d5	75		
1060:litter122878deadpup	73		
1060:litter547166d1	74		
1060:litter547166d2	70		
1060:litter547166d3	77		
1060:litter547166d4	80		
1060:litter547166d5	78		
1060:litter547166d6	68		
1060:litter547166d7	79		
1060:litter547166d8	74		
1069:172	73		
1069:174	70		
1069:178	68		
1069:179	75		
1069:180	71		
1069:185	78		
1069:190	75		
1069:193	65		
1069:194	78		
1069:195	68		
1069:196	67		
1069:197	74		
1069:197Tail	73		
1069:198	73		
1069:199	75		
1069:200	75		
1069:201	61		
1069:202	60		
1069:203	72		
1069:204	67		
1069:205	80		
1069:206	77		
1069:207	76		
1069:208	76		
1069:209	71		
1069:210	75		
1069:211	77		
1069:212	70		
1069:213	77		
1069:214	78		
1069:215	77		
1069:216	67		
1069:217	65		
1069:218	72		
1069:219	59		
1069:220	69		
1069:221	51		
1069:222	53		
1069:223	56		
1069:224	71		
1069:225	79		
1069:226	76		
1069:227	67		
1069:228	77		
1069:229	65		
1069:230	72		
1069:231	65		
1069:232	76		
1069:233	60		
1069:234	63		
1069:235	69		
1069:236	50		
1069:237	57		
1069:238	59		
1069:239	59		
1069:240	42		
1069:241	66		
1069:242	71		
1069:243	61		
1069:244	72		
1069:245	67		
1069:246	73		
1069:247	70		
1069:248	67		
1069:249	60		
1069:250	73		
1069:251	72		
1069:252	62		
1069:253	67		
1069:254	73		
1069:255	71		
1069:256	77		
1069:257	62		
1069:258	58		
1069:259	71		
1069:260	57		
1069:261	50		
1069:262	72		
1069:263	77		
1069:264	63		
1069:265	72		
1069:266	60		
1069:267	62		
1069:268	68		
1069:269	66		
1069:270	69		
1069:271	67		
1069:272	78		
1069:273	78		
1069:274	71		
1069:275	71		
1069:276	74		
1069:277	72		
1069:278	75		
1069:279	75		
1069:280	76		
1069:281	71		
1069:282	73		
1069:283	77		
1069:284	64		
1069:285	74		
1069:286	75		
1069:287	77		
1069:288	74		
1069:289	77		
1069:290	73		
1069:291	63		
1069:292	77		
1069:293	76		
1069:294	74		
1069:295	73		
1069:296	66		
1069:297	71		
1069:298	68		
1069:299	56		
1069:300	50		
1069:301	66		
1069:302	68		
1069:303	72		
1069:304	45		
1069:305	73		
1069:306	77		
1069:307	69		
1069:308	67		
1069:309	75		
